Id problem,Weights,Prices,Capacity,Best picks,Best price,Average Weights,Average Prices,Cost function,Constraint
1,"[46, 40, 42, 38, 10]","[12, 19, 19, 15, 8]",40,"[0, 1, 0, 0, 0]",19,35.2,14.6,Maximize: 12*x0 + 19*x1 + 19*x2 + 15*x3 + 8*x4,Constraint: 46*x0 + 40*x1 + 42*x2 + 38*x3 + 10*x4 <= 40
2,"[11, 31, 4, 6, 7]","[2, 8, 18, 16, 3]",64,"[1, 1, 1, 1, 1]",47,11.8,9.4,Maximize: 2*x0 + 8*x1 + 18*x2 + 16*x3 + 3*x4,Constraint: 11*x0 + 31*x1 + 4*x2 + 6*x3 + 7*x4 <= 64
3,"[32, 49, 27, 37, 24]","[19, 16, 16, 4, 1]",87,"[1, 0, 1, 0, 1]",36,33.8,11.2,Maximize: 19*x0 + 16*x1 + 16*x2 + 4*x3 + 1*x4,Constraint: 32*x0 + 49*x1 + 27*x2 + 37*x3 + 24*x4 <= 87
4,"[20, 35, 22, 23, 16]","[19, 17, 19, 9, 1]",21,"[1, 0, 0, 0, 0]",19,23.2,13.0,Maximize: 19*x0 + 17*x1 + 19*x2 + 9*x3 + 1*x4,Constraint: 20*x0 + 35*x1 + 22*x2 + 23*x3 + 16*x4 <= 21
5,"[7, 12, 19, 13, 20]","[10, 11, 18, 15, 5]",50,"[0, 1, 1, 1, 0]",44,14.2,11.8,Maximize: 10*x0 + 11*x1 + 18*x2 + 15*x3 + 5*x4,Constraint: 7*x0 + 12*x1 + 19*x2 + 13*x3 + 20*x4 <= 50
6,"[27, 10, 25, 25, 7]","[13, 19, 7, 16, 3]",66,"[1, 1, 0, 1, 0]",48,18.8,11.6,Maximize: 13*x0 + 19*x1 + 7*x2 + 16*x3 + 3*x4,Constraint: 27*x0 + 10*x1 + 25*x2 + 25*x3 + 7*x4 <= 66
7,"[21, 2, 33, 45, 26]","[1, 14, 10, 6, 13]",80,"[0, 1, 1, 0, 1]",37,25.4,8.8,Maximize: 1*x0 + 14*x1 + 10*x2 + 6*x3 + 13*x4,Constraint: 21*x0 + 2*x1 + 33*x2 + 45*x3 + 26*x4 <= 80
8,"[37, 27, 39, 14, 25]","[18, 7, 15, 4, 13]",35,"[0, 0, 0, 0, 1]",13,28.4,11.4,Maximize: 18*x0 + 7*x1 + 15*x2 + 4*x3 + 13*x4,Constraint: 37*x0 + 27*x1 + 39*x2 + 14*x3 + 25*x4 <= 35
9,"[1, 48, 4, 23, 39]","[9, 4, 10, 16, 12]",51,"[1, 0, 1, 1, 0]",35,23.0,10.2,Maximize: 9*x0 + 4*x1 + 10*x2 + 16*x3 + 12*x4,Constraint: 1*x0 + 48*x1 + 4*x2 + 23*x3 + 39*x4 <= 51
10,"[4, 3, 22, 9, 32]","[14, 6, 3, 17, 8]",53,"[1, 1, 0, 1, 1]",45,14.0,9.6,Maximize: 14*x0 + 6*x1 + 3*x2 + 17*x3 + 8*x4,Constraint: 4*x0 + 3*x1 + 22*x2 + 9*x3 + 32*x4 <= 53
11,"[11, 10, 25, 34, 13]","[16, 3, 4, 18, 3]",98,"[1, 1, 1, 1, 1]",44,18.6,8.8,Maximize: 16*x0 + 3*x1 + 4*x2 + 18*x3 + 3*x4,Constraint: 11*x0 + 10*x1 + 25*x2 + 34*x3 + 13*x4 <= 98
12,"[18, 47, 20, 9, 39]","[7, 4, 17, 19, 3]",67,"[1, 0, 1, 1, 0]",43,26.6,10.0,Maximize: 7*x0 + 4*x1 + 17*x2 + 19*x3 + 3*x4,Constraint: 18*x0 + 47*x1 + 20*x2 + 9*x3 + 39*x4 <= 67
13,"[34, 46, 20, 45, 3]","[6, 6, 10, 2, 14]",92,"[1, 0, 1, 0, 1]",30,29.6,7.6,Maximize: 6*x0 + 6*x1 + 10*x2 + 2*x3 + 14*x4,Constraint: 34*x0 + 46*x1 + 20*x2 + 45*x3 + 3*x4 <= 92
